objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
2007.219.67,28,British,0,131913,1857,323348,"Mount of Olives and Al-Aqsa Mosque, Jerusalem",https://www.harvardartmuseums.org/collections/object/323348
BR63.53,8,German,1,154662,1918,164860,UHouses,https://www.harvardartmuseums.org/collections/object/164860
2.2002.4576,3,European,0,7821,c. 1890 - c. 1915,154932,"Untitled (buildings along canal, Venice, Italy)",https://www.harvardartmuseums.org/collections/object/154932
P1970.4291.3,2,American,0,235079,May 1946-August 1946,189722,"Untitled (office of the CIO Organizing Committee, Bessemer City, North Carolina)",https://www.harvardartmuseums.org/collections/object/189722
4.2002.16176.1,9,American,0,35840,c. 1950,320015,Untitled (mother chimp holding baby chimp),https://www.harvardartmuseums.org/collections/object/320015
1991.43,12,Greek,0,113389,25th-21st century BCE,303702,Dagger Blade,https://www.harvardartmuseums.org/collections/object/303702
4.2002.21697,0,American,0,40074,c. 1950,120516,Untitled (portrait of man and woman),https://www.harvardartmuseums.org/collections/object/120516
4.2002.5202,1,American,0,24376,1947,137242,Untitled (spectators watching lawn bowling championship),https://www.harvardartmuseums.org/collections/object/137242
M24967.94,122,Italian,0,227858,1641,176107,The Amphitheater of Statilius Taurus,https://www.harvardartmuseums.org/collections/object/176107
1957.118,2,Greek,0,82771,300 BCE-298 BCE,178432,Rhodium Didrachm of Kyrene,https://www.harvardartmuseums.org/collections/object/178432
P1970.1647,0,American,0,232245,October 1935,301711,"Untitled (Omar, Scotts Run, West Virginia)",https://www.harvardartmuseums.org/collections/object/301711
M18613,1,French,0,219174,1851,267347,The Next DIstribution of Prizes at the Academy,https://www.harvardartmuseums.org/collections/object/267347
2017.119.2.2,10,French,0,141099,18th century,358860,Antoine Watteau,https://www.harvardartmuseums.org/collections/object/358860
2010.449.27,13,American,1,134924,1964,336820,Canto XXVII,https://www.harvardartmuseums.org/collections/object/336820
1936.50,29,Persian,0,61525,1200-1399 (?),216908,"Bowl with Ibex and Plants, and Radial Stripes",https://www.harvardartmuseums.org/collections/object/216908
CW2001.1051,0,American,0,189877,1973,145817,"Sculpture specification, Milan 1973: diagrams for sculpture",https://www.harvardartmuseums.org/collections/object/145817
1996.69.8,1,American,1,118742,1982,217812,"Untitled, from the portfolio ""Revolutions Per Minute (The Art Record)""",https://www.harvardartmuseums.org/collections/object/217812
P1970.4373.6,0,American,0,235496,Fall 1936,187641,Untitled (Susanna Shahn),https://www.harvardartmuseums.org/collections/object/187641
4.2002.16189,9,American,0,35884,c. 1950,125944,Untitled (baby gorilla climbing onto chair),https://www.harvardartmuseums.org/collections/object/125944
5.2002.229,2,American,1,41743,"September 28, 1910",145205,Causeway St. opp. N. Station,https://www.harvardartmuseums.org/collections/object/145205
2.2002.2104,0,,1,5605,1980,156948,Untitled (building exterior),https://www.harvardartmuseums.org/collections/object/156948
4.2002.4249,1,American,1,23423,1931,138138,Untitled (portrait of nuns posing with priest),https://www.harvardartmuseums.org/collections/object/138138
4.2002.2331,1,American,1,21460,c. 1950,140074,Untitled (Frank Natal wedding portrait),https://www.harvardartmuseums.org/collections/object/140074
4.2002.1325,0,American,1,20428,c. 1940,141022,Untitled (mother and son),https://www.harvardartmuseums.org/collections/object/141022
1984.65,2,Chinese,0,104859,3rd millennium BCE,201838,Fragment of the Flaring Cylindrical Base from a Short Pedestalled Vessel,https://www.harvardartmuseums.org/collections/object/201838
2017.174.18,3,French,0,141541,1771,358637,Goldsmiths' Plate Turning Lathe,https://www.harvardartmuseums.org/collections/object/358637
BRGA.21.107,5,German,1,161501,"c. 1926, printed later",52441,"Bauhaus Masters' Housing, Dessau, 1925-1926",https://www.harvardartmuseums.org/collections/object/52441
2010.392,12,,1,134782,October 1937,327065,Siemensstadt I,https://www.harvardartmuseums.org/collections/object/327065
M17786,0,French,0,218353,1853,267882,"Parisian Tritons, Male and Female...",https://www.harvardartmuseums.org/collections/object/267882
2018.368,0,French,0,143081,19th century,363243,Napoleon on Horseback,https://www.harvardartmuseums.org/collections/object/363243
1981.204,116,Italian,0,103509,15th-16th century,295351,Two Grotesque Heads,https://www.harvardartmuseums.org/collections/object/295351
R804NA,10,Dutch,0,244744,1521,248713,Descent from the Cross,https://www.harvardartmuseums.org/collections/object/248713
1965.321,181,Spanish,1,87032,1899-1900,296395,Portrait of Fonte,https://www.harvardartmuseums.org/collections/object/296395
1943.1804,13,Islamic,0,70668,19th century,214557,Carpet,https://www.harvardartmuseums.org/collections/object/214557
1919.445,0,Japanese,0,51653,,209936,PRINT,https://www.harvardartmuseums.org/collections/object/209936
2.2002.4406,0,European,0,7651,c. 1890 - c. 1915,144052,"Untitled (street leading to archway under tower, Dürnstein, Austria)",https://www.harvardartmuseums.org/collections/object/144052
M2671,5,American,0,203363,1920,257058,Mountain Brook,https://www.harvardartmuseums.org/collections/object/257058
P1978.5,32,American,0,237804,1916,285449,"""Affectionately Yours""",https://www.harvardartmuseums.org/collections/object/285449
BR63.2896,1,German,1,157392,4/1/1932,162674,Untitled [Towers of a Church],https://www.harvardartmuseums.org/collections/object/162674
1964.17,43,French,0,86314,19th century,296107,Landscape,https://www.harvardartmuseums.org/collections/object/296107
1.1965.2055,6,Greek,0,2522,320 BCE-270 BCE,170550,Stater of Lyttos,https://www.harvardartmuseums.org/collections/object/170550
R4219,36,French,0,247844,1798,240054,Wood-cutters Felling an Old Tree in the Forest,https://www.harvardartmuseums.org/collections/object/240054
BRLF.1012.199,24,American,1,184302,1940s-1950s,7973,Philodendron roots,https://www.harvardartmuseums.org/collections/object/7973
2012.1.69,57,Greek,0,136382,4th century BCE,5013,Circular Impressed Disk,https://www.harvardartmuseums.org/collections/object/5013
G3282,33,Dutch,0,195365,1639,299957,"Jan Uytenbogaert, ""The Goldweigher""",https://www.harvardartmuseums.org/collections/object/299957
M1634,0,French,0,202448,16th century,271229,Letter T,https://www.harvardartmuseums.org/collections/object/271229
M12742,12,French,0,213466,1861-1862,272289,The Urchin (Boy with Dog),https://www.harvardartmuseums.org/collections/object/272289
1912.38,1,Greek,0,50353,,293263,Small Bottle,https://www.harvardartmuseums.org/collections/object/293263
2013.6.1.48,1,American,0,136984,November 1863,343484,"Culpeper, Virginia",https://www.harvardartmuseums.org/collections/object/343484
BRGA.103.40,7,American,0,166433,c. 1944-1945,147887,"Catholic Church, Torreón, Mexico, 1944-1945: Duplicate of BRGA.103.9: Interior perspective",https://www.harvardartmuseums.org/collections/object/147887
BR63.2267,2,German,1,156763,9/3/1923,163272,Untitled [Hottelstedt],https://www.harvardartmuseums.org/collections/object/163272
BRLF.230.4,3,German,1,171682,1930,41503,[Dessau train station],https://www.harvardartmuseums.org/collections/object/41503
1983.56.101,5,Roman Provincial,0,104455,244-249 CE,177321,Coin of Kelenderis under Philip I,https://www.harvardartmuseums.org/collections/object/177321
1991.600,16,Korean,0,113998,17th century,201094,"Small, Wide-Bodied Jar with Stylized Floral Decor",https://www.harvardartmuseums.org/collections/object/201094
4.2002.7526,0,American,0,26603,1950,134959,Untitled (people gathered on street to watch parade on Armed Forces Day),https://www.harvardartmuseums.org/collections/object/134959
M2869.7.22,0,Italian,0,203844,18th century,70076,Various capitals,https://www.harvardartmuseums.org/collections/object/70076
4.2002.13848,3,American,0,32873,c. 1940,128399,Untitled (two small children seen from behind and holding hands),https://www.harvardartmuseums.org/collections/object/128399
1936.71.59,1,American,0,61628,19th-20th century,306874,Scene on the Nile,https://www.harvardartmuseums.org/collections/object/306874
4.2002.22540,17,American,0,40920,c. 1940-60,119901,Untitled (photograph of nude Marilyn Monroe picture pinned to corkboard),https://www.harvardartmuseums.org/collections/object/119901
2001.159.20,4,American,0,122056,1852,148053,"Susquehanna at Wapwallopen, Pennsylvania",https://www.harvardartmuseums.org/collections/object/148053
M5974,1,French,0,207805,16th century,270679,Letter Q,https://www.harvardartmuseums.org/collections/object/270679
1985.842,264,Chinese,0,109361,c. 1506,209931,"An Illustrated Chronological Biography of Confucius (Kongzi Shengji zhi tu), Jifu edition, adapted from Sima Qian by Zhu Jianjun [with preface by Zhang Kaishi]",https://www.harvardartmuseums.org/collections/object/209931
1970.140.6,4,Japanese,0,89809,,173636,One of Twenty Earthenware Sherds and Two Pieces of Chert,https://www.harvardartmuseums.org/collections/object/173636
4.2002.4227,4,American,1,23401,c. 1930-1940,138143,Untitled (dead infant lying in wicker casket),https://www.harvardartmuseums.org/collections/object/138143
BRLF.225.27,9,German,1,171552,1932,41950,[Werner Jackson with cat],https://www.harvardartmuseums.org/collections/object/41950
4.2002.6899,0,American,1,25960,c. 1950,135267,"Untitled (studio portrait of young family with three children, father in sailor uniform)",https://www.harvardartmuseums.org/collections/object/135267
4.2002.15960.2,1,American,0,35222,1962,319550,Untitled (men in suits standing in police line-up),https://www.harvardartmuseums.org/collections/object/319550
